global_aperiodic_exponent_p95,net8_Limbic_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_alpha_peak_bw_median,net8_Visual_n,net8_Default_Mode_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_alpha_peak_bw_p95,net8_Visual_alpha_peak_pw_p95,net8_Dorsal_Attention_n,net8_Executive_Control_alpha_peak_cf_p5,net8_Dorsal_Attention_alpha_peak_pw_p95,net8_Temporal_Parietal_alpha_peak_cf_median,net8_Limbic_alpha_peak_cf_p5,net8_Limbic_alpha_peak_cf_median,net8_Temporal_Parietal_n,net8_Default_Mode_alpha_peak_cf_median,net8_Limbic_alpha_peak_bw_p95,global_alpha_peak_bw_p95,net8_Dorsal_Attention_alpha_peak_bw_p95,net8_Temporal_Parietal_alpha_peak_cf_p5,net8_Default_Mode_alpha_peak_bw_p95,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Executive_Control_alpha_peak_pw_p95,net8_Executive_Control_alpha_peak_bw_p95,global_alpha_peak_cf_median,net8_Default_Mode_alpha_peak_pw_IQR,net8_Visual_alpha_peak_cf_median,global_alpha_peak_pw_p95,net8_Visual_alpha_peak_pw_median,net8_Executive_Control_n
0.0300032223714395,-0.012491443184232905,0.03254886140140441,-0.005967192636781781,0.013604260744932014,0.012219152151759947,0.007007376937427915,-0.002251470904943177,0.003628603670429851,0.007772960775509116,0.01499043013778123,0.00944692218617101,0.01592157828311753,-0.0026535874456871805,0.00658364293402878,0.0029767120199123685,0.004782482136563539,0.0047977880539879815,0.004362548724754043,0.003272370074229217,-4.8833029497704265e-05,-0.001170080189434267,0.002570428782755854,0.0018524247035232705,0.003017583956699091,-0.0028944256640628246,0.007894668441232267,-9.780801058755032e-05,-0.0007849146938930695,-0.0004629813606489197
-0.04096509592153748,-0.022348557919963503,0.018851098768465323,-0.009893086564019816,0.0017504710377601197,0.004791597378924399,-0.005836511914127186,-0.006834461286446115,0.0054154284759688745,-0.0052846692525906624,0.009009740453362676,0.008434699914646205,0.006316777135779408,-0.0025158194719766434,0.004319522637046157,0.005671953593434059,0.0004313943936737658,-0.001491171505430791,0.003238177399200172,-0.00043557455897602474,-0.0006320486537076934,-0.0012915821122149596,-0.0007933510515626738,-0.003906346330291154,0.004126402235707995,-0.0023070685965725906,0.003901163999387644,-0.00010596651044939878,-0.0006528181766999914,-0.00019093592076770575
0.037458938489312775,0.025625300472282314,0.030012088903126424,-0.00633230418215807,0.018245070032720623,0.009714736949415695,0.0023122507991325814,-0.002655194164460879,-0.0028132010220704973,0.0010167955518462892,-0.009485403901435653,-0.004055382395977851,-0.0070462807256564475,-0.002283080319986895,-0.007069365501529024,0.00660829295646157,0.006650530363866949,0.0047604375573287085,-0.0036474591124364144,0.010634737001066246,0.014321773900798982,-0.004732157774347963,0.0012590094112688915,0.006001054022022404,-0.0030198109167677155,-0.0014805767601017883,-0.0022458846684006418,-0.00041540284789332564,-0.002121736205626169,-0.0010177199703136882
-0.01190835492125236,0.005254786902732892,-0.0024162640637764247,-0.012959098493430491,-0.0041226394894208805,-0.008609925304369168,-0.007028283922344853,-0.0063073923817339415,0.0026697741253304563,-0.0040385027722685705,0.0001428677989163471,0.0006201198508308456,-0.0029068138123998816,-0.0019252629383490327,-0.0025120639478490377,-0.008806513593503916,-0.007531964044405024,-0.0013910332517858394,0.002575395207618457,-0.002617252325047721,0.000980741664470994,-0.0010570001382766417,-0.0003992798257537488,-0.0032543994510132396,1.853015644558644e-05,0.0014701749212675003,-0.0029876502748667592,-0.0016183375454453027,-0.0015732325475781908,-0.0016825092125888799
-0.039600191603139295,-0.011734149254624356,-0.0011221936488777806,0.028560750653462533,-0.007247250606600773,0.005130732020814689,0.01517791536699917,-0.006511701040320691,0.007968725422126148,0.006718517947956245,0.006263248091972875,-0.0023782807387070625,0.0008245413939455202,0.007884000460907889,0.0035351871417159076,-0.0041354181290723,-0.00046771312967410714,-0.0033523830773648645,0.0011233779521842681,0.0011712621110058722,0.0021904529229272076,-0.0012084987538114999,0.001877260364588826,-0.0030523078478501193,0.001871333807729264,0.0032994391628275123,0.0012971545999009666,0.0037731673522946444,0.0016965972848918653,0.0021627358851923515
0.026097596258691094,0.009588543667299816,0.026271955791899563,-0.009438943388775942,0.015350464935549393,0.011179806299461647,-0.01858196661144899,-0.0032774191063705484,0.0009510402814642675,-0.012029097216580626,0.0021947785971806154,0.0070886467348908536,0.0013097347393355855,-0.0026954116368185354,0.007035309818029144,0.004869227033998711,0.0023128641469563073,0.0006886227289387424,-0.0029054702958997967,-0.001779471356870938,-0.0014469557157356782,-0.002598511253767429,-0.006629196805014011,-0.00016537016960891851,-0.0013394326465102774,-0.002574365173501903,-0.005288567225394702,-0.0024516519454730644,-0.001603779681973545,-0.0015030475154395979
-0.03718468258791475,-0.009493789508421568,-0.004501148243797078,0.021548903566197212,-0.02193434158322406,-0.007088818631379185,0.011551581695597234,0.04059131429117065,-0.006313206458840064,0.004752576074219686,-0.0002538523604034392,-0.004181797166097803,-0.004230862129246881,0.009190278763364052,-0.0032591583281663785,-0.002127734260133225,-0.005114886783129131,-0.002839270834858269,-0.012035952151750177,-0.0017431092457811349,-0.0003277774043379358,-0.0004901312734992085,0.0018184527927808463,-0.0034805283862875025,-0.00027353975110319694,-0.027886979162640584,6.865580306382242e-05,0.006048484464379467,-0.0015441228984313558,0.005829524286678054
-0.02491996144552648,-0.009826622083518623,-0.016017993702723988,-0.01209842451472422,-0.017439178652989423,0.005842125203826992,0.004804633053763233,-0.008899978746368914,-0.0030864171577503325,0.003249289257965476,0.0015013733934120502,-0.0004011098095854348,0.0009096454965155798,-0.003731359780933649,0.002541667481235951,-0.008211475747581774,-0.007732622879103956,-0.009575691363583182,0.00017705657318217992,-0.0034575893683164317,-0.0015521145538860968,-0.0008826933319046437,0.0017119537523993744,-0.0023182739339901995,-0.0004708170511682664,0.0013764821781013595,-0.000775136601702967,-0.002061731925687915,-0.0008030656797052611,-0.00026085920869113534
-0.04752327382356229,-0.023024431115999815,-0.014760022051898572,-0.013285001572733537,-0.01821081856311091,0.006920334246183412,0.007065041707021017,-0.003996042603801847,0.009848023499920264,0.005848758626661915,0.007558642828468156,-0.005377293833280022,-0.00016753245617258692,0.009172058109226989,0.002795884525389053,-0.004888604036685651,-0.0016931652037474889,-0.004070801834120091,0.0021540422217478207,-0.0011070653660136028,-0.006339608669104153,-0.0012363483467623991,0.002075275235862654,-0.0027320544585215,0.0035175194299331457,0.0019170938343121599,0.00342386043602759,0.005027144806235669,-0.000755053601343983,0.0018986439408994167
0.015635666049529453,-0.010376635162889858,-0.006016618852446654,-0.010214565811723532,-0.00425668739321087,0.014249714627033262,0.01350758014948826,-0.001957870273905456,0.005072257295353829,0.00763068285022127,-0.0024054002900585265,0.0028399721656424755,0.002110039486991287,-0.004030094691573216,-0.00015597362714485363,0.006305571107152412,0.00623234676729725,0.009200131974662426,-0.002133581717223511,0.0029673968089593892,-0.0006821588843798577,-0.002872421667186597,0.005207293669215306,0.011367250098009683,-0.00027323542982750603,0.0006989756000061045,-0.0028758085417813274,-9.022858653757623e-05,-0.0016678351101838732,0.0004796355769607534
