auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.6173,0.7839,0.5785,0.4375,0.8537,0.2307,0.4833,1245,369,315,405,471,54,1,2489,73,2.373
0.5797,0.7628,0.5611,0.5196,0.6098,0.2178,0.4453,1245,369,225,208,668,144,2,2489,69,2.373
0.6538,0.7854,0.6202,0.5926,0.6504,0.2106,0.6605,1244,369,240,165,710,129,3,2490,92,2.374
