net8_Default_Mode_aperiodic_exponent_p95,global_aperiodic_exponent_p95,net8_Visual_alpha_peak_pw_p95,net8_Temporal_Parietal_alpha_peak_cf_p5,global_alpha_peak_bw_p95,net8_Dorsal_Attention_alpha_peak_pw_median,net8_Limbic_alpha_peak_cf_median,net8_Limbic_alpha_peak_cf_p5,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_bw_p95,net8_Temporal_Parietal_alpha_peak_cf_median,net8_Limbic_aperiodic_exponent_median,net8_Salience_Ventral_Attention_alpha_peak_bw_p95,net8_Default_Mode_aperiodic_exponent_median,global_alpha_peak_pw_median,net8_Executive_Control_alpha_peak_bw_median,global_alpha_peak_pw_p95,net8_Limbic_alpha_peak_bw_p95,global_alpha_peak_bw_median,net8_Executive_Control_aperiodic_exponent_median,net8_Limbic_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Dorsal_Attention_aperiodic_exponent_p95,net8_Executive_Control_aperiodic_exponent_p95,net8_Somatomotor_aperiodic_exponent_p95,net8_Dorsal_Attention_aperiodic_exponent_median,net8_Temporal_Parietal_aperiodic_exponent_p5,net8_Visual_alpha_peak_cf_p95,net8_Executive_Control_alpha_peak_cf_median,net8_Somatomotor_aperiodic_exponent_median
0.027284705862102125,0.016021494000966526,0.005540537828681081,0.01208477133178634,0.010054735403166547,-0.002262773414135533,0.010627190906722477,0.0051813221263737,-0.00040157836709656754,0.007588074114727342,0.006257875976344374,0.000688570455480888,0.008450570822356937,0.003273069089374843,-0.0006309965399312295,0.01208700640876225,0.0040754271057399675,0.0024191252901933236,0.0009743564213174383,-0.002379192576737334,-0.0008289689634806549,0.0017238118066773172,-0.0012565421370345753,0.0006624659563274647,0.0008994299964527842,0.0009548351823738428,-0.000304378525076507,0.004944076818924567,0.0032194961101746633,-0.0008398502728079757
-0.013010653651126249,-0.0015026779570293256,0.003455182778368343,0.00935177540604562,-0.0016948070213534123,-0.001320157137973019,0.004816464820489989,0.006124422073919713,-6.625771569164996e-05,-0.0016789971554951794,0.008113354428513462,-0.0007689137653912816,-0.0010766325449746807,0.0025911087205130203,-0.003749974312640744,0.0031019931774402,0.004295987051999983,0.0007694721203042519,0.0018611999196205876,-0.0018740738215680497,-0.0010866239931368398,-0.001972327723657276,-0.0007523958497785194,0.002166654592015812,0.00081766140895593,0.00035964463042851695,-0.002277574415154757,-0.0013092969629801441,0.0023923795956150833,0.0026149148504359633
0.028657103270161494,0.008297923090181777,-0.013009577081818656,-0.009834674804771132,0.004199312507615957,-0.010339644462819778,0.004297284666189571,0.002928998265753515,0.002004159801749295,-0.0031342941801319204,-0.0016570559562350945,0.00234794460454897,0.002181759934618903,0.0016318901951642387,-0.004067756354358408,0.004431448098359196,-0.006113793652962945,0.001765453427503506,0.00881460955862667,-0.0020581368771813925,0.002566393334474057,0.0017505953288193563,0.0003956958650044689,0.0025647385746262606,0.0005199683914952076,0.0004979974388701266,0.003009751172468557,0.00021716193115069968,-0.0012323180619951762,0.0005948793146849248
-0.015049317874910303,-0.0110259655896715,0.006322277160036981,0.0075873087595753706,-0.003080353120379704,-0.0008514428835148677,-0.0007575662261821836,-0.0035785678051253418,0.0024379131081404947,-0.0018054740117397791,-0.0011646553932009548,0.002401352000204693,0.000854680980234544,0.003652456757966456,-0.002708001911431061,-0.002785127150952291,-0.00162281284498689,-0.001515560669212523,-0.0007903619946559938,0.003555573573436118,-0.0021995227150835685,-0.002002659902102654,-0.002498293547889276,-0.0032767029542756882,0.0007252439527413917,0.0023773934865655494,-0.0015407175953485585,0.00020602653708231202,-0.0010153881818845735,0.003842004935692768
0.009297734884483756,0.019569613405924394,0.02552616743576401,-0.015038366952462355,-0.0006940962717672082,0.01430916451166676,-0.003908277801582191,-0.003325318423045051,0.0010674574997662997,0.0035801173763998547,-0.0034423945445345035,0.0012700781434860598,0.002213221330261914,0.004434444115545189,0.0011322654569790973,0.0022796996124266277,0.0031052894565821478,0.001313040189791196,0.0014463352066990892,-4.975286811768919e-05,-0.0014441294416690472,0.0009956097485039944,-0.0040925256924431745,0.002521527103869252,0.0013229294918873616,-0.0007083981018938478,0.0025378228140290086,-0.001637049711553423,-0.0026404893997022823,-0.00030348455057137665
-0.01502574530024818,-0.015780162554720246,-0.012784953735255851,-0.010817009662158625,-0.002011746228136141,-0.0022321018228395285,-0.0055700918159534915,-0.0039838998873425215,-0.011903518982170505,0.0007371629417310413,-0.0030417686883434237,-0.01009822188347121,0.0007221228609171164,0.0020529250254955928,-0.0010604251230092155,0.005341816678207191,-0.0034243928842719058,0.0008070402795983931,-0.0014492830951198204,0.0014034681581172146,-0.0018390556149613549,-0.002284274209869994,0.001964669299856883,-0.0005710476612168055,-0.001354782095808173,0.0013291412736858065,-0.00011724001739345612,-0.00037353995318184215,-0.0018548462444981095,0.00030026411696105375
-0.02014629130562211,-0.02549803330924088,-0.019263636738006115,0.002863466118630028,-0.002126254918626899,-0.0013069482916443875,0.0025552305322799266,-0.00011902903037944195,-0.005659801192476677,-0.001379768562102069,-0.0025232173103376214,-0.0069059453422936875,-0.0014083875362238371,0.0019927465935418763,-0.00172638131237531,-0.001276096545999717,-0.004008176143240159,0.0009838062049135976,-0.0013698881374292697,0.002031030773637417,-0.001086441058257614,-0.0017767112567058218,-0.0011226374788581078,-0.002689371119930235,-0.0009552828442167345,0.001570271805427998,-0.00036591609795822897,-0.0018043797820038287,-0.0022594035597843635,0.002331345056886881
0.011238993924081392,0.021532563679994926,0.013099344326911802,0.004648278417097771,0.004875113628664254,-0.003380658946611276,0.008776485803862269,0.003681186810504949,-0.0003722370026300898,-0.0028934973869600435,-0.002330788039092292,0.001499818543270286,0.0054540067164265925,-0.0004828305969758481,-0.0028143941990695876,-0.0022360756920010165,0.003949230244877284,-0.00021371631074887487,7.039352956886806e-05,0.0009084775962181544,-0.0008878445662243424,0.001528663708714108,-0.0011439019707973647,0.003921441894931147,0.0012415592307121154,0.00685514607841076,0.0016860537912859268,-0.0005063157965438773,0.00013436080712600487,0.000508337630291557
-0.01657101574996409,-0.012073705519159978,-0.010108043579239263,-0.007066349199080981,-0.0012621041646547577,-0.002350886665038209,-0.004212555112143572,0.00643903683351693,0.0035247241191328437,-0.0011146872009267848,-0.0021712585181121184,-0.0072930584968734094,-0.0010208577713429715,0.004030535805146899,-0.0016768418083989742,0.0001440037612022829,-0.0004365357208051584,-0.00023157469062252557,-0.0012637412220183836,0.002777807702285469,-0.0015286695499730912,-0.004323297763276732,-0.001960606856470453,0.0006380864216664344,-0.0017667339118920236,0.0016875380378257485,-0.001124301671490541,-0.0008879102872978637,-0.0009681967615808315,0.001758433382306573
-0.011293962904810861,-0.004371199602490233,0.0026706510948791835,-0.00859274057035227,-0.004670862561549857,-0.002815043405548048,-0.0027780524676701145,-0.006907634732433677,0.0008511955844158247,-0.00223633044567589,-0.0030157245359652535,0.003711039025806892,-0.003684336241936181,0.001864121074169722,-0.00174244661700928,-0.001512478737384906,0.0007835961177370182,-0.002353549526796564,-0.000989687309886488,-0.0037183002751823273,-0.0010001086167754653,0.0007914520332885811,-0.001327796953102681,0.0010705335321933818,0.0011711515329395417,-0.0008310391702086365,-0.0007905014406128096,-0.0004434223033417384,-0.0012606246456731366,-0.0023627681635133204
0.038893763612562984,0.017092178024113773,0.0024817489672894722,0.005251176011359425,0.016926630290651987,-0.0020360762500689538,-0.003790429947989187,0.004292801229660639,0.024753809153515216,0.010646623496711834,-0.002087449836170358,0.006518434641238835,0.00887991420825141,-0.002831699657265158,0.0008250999857017229,0.01240317398116411,0.0022549844819458966,0.0024293541554848,0.00523559694489722,-0.0023645715173502453,0.01113651637968223,0.0034662361021202304,0.003430737422598814,0.002149512900735925,0.0014453538314392789,-0.0014525575503860928,-0.0012899330676606146,-0.000686892907987899,-0.0018058082709164708,-0.0009184138889035458
-0.010661009174385627,-0.010831342439176201,0.005022858707877447,0.008066647008805999,-0.002142942496721714,-0.0007014715105104602,0.009480840252601395,0.003798602646505674,-0.00649174453564842,-0.002714115938339172,0.012594537064575702,-0.00425681189454479,-0.0023234518657240747,0.0017841715341012018,-0.0007438707497847304,-0.00047204803882301097,-0.0012358209144559787,-0.0023005744275358163,-8.15162980189619e-05,0.0035897662107794563,-0.0006442951681337103,-0.003729781889333815,0.0014432513402134167,-0.0022594419210996406,-0.005920674554426406,0.0008862751549828876,0.0019603850354727686,-0.002349564566898356,0.005657533588498934,0.0008413642783087912
-0.01654570612767934,-0.019857215000792506,-0.0019682766686676305,-0.01130984410437004,-0.0019351439353421282,-0.003381278535780548,-0.0034301207791261057,-0.004191284568133761,0.0014428492738663853,-0.0015175165625913765,-0.0021630961947657562,-0.005985345701274923,-0.0014392760656491137,0.0024786390227597515,-0.0010894093535433753,-0.0026424964851914047,-0.00216623147893623,0.0004894567834512762,-0.0012844647609804027,0.0012369595391283005,-0.002036811941837204,-0.0020447166856990035,-0.0025084885990785564,-0.00427162034548457,-0.000886170457974622,0.0023590742997419574,0.0007442643083811498,-0.0005345057690336912,-0.0011682903297589638,0.0006373662642152381
-0.007315179218633241,-0.011407011773359642,-0.007722326701025358,-0.003689009241812863,-0.00134179115418946,-0.00210691698835106,-0.0031087908206123486,-0.005668432393893034,0.003748416845184956,-0.002750239042082958,-0.0017901485593119094,0.0021775394342716556,0.0007979572980692516,0.001320102284350545,-0.0012262062382776715,-0.002342274011468999,-0.001286311894929266,-0.0036043136951888137,-0.0024541923489230714,0.00261950847172852,-0.0029282031286458846,-0.001797296256566906,-0.002282791178679863,-0.00013811070009285092,-0.0017411390819724946,0.0006494663907275943,0.0005302321636893863,-0.0023899299329672875,-0.0012944638149160943,-0.001615131704490596
0.002965597332126331,0.008278834909911197,0.011126933874523258,0.003962372270857446,-0.009697098361396164,-0.0037932697915130298,-0.01100152283299266,0.0034128854898019963,-0.000754713965629345,0.008403092074139862,-0.005712721811309515,0.0016368332069005823,0.0021538521525058534,-0.010393576011341308,0.0018311555340587852,-0.002187938423914961,0.0014863275655016988,-0.0008942261297687893,-2.925836276366089e-05,-0.0023763062762998735,-0.0007464896749230592,0.0015027033241288292,-0.0027113041610067,0.0011711068916888388,0.0014285441714239893,-0.0005920677015906164,-0.0006077987702828347,2.3827178780203953e-05,-0.001943885421765302,-0.0008762516479190294
0.03343793687245814,0.016210063820351398,0.008614677346976612,0.00622868537934666,0.008228824320794808,0.010441558512546386,0.00774396359186673,0.003553408154732765,0.0003255905844579681,0.0027918094648804593,-0.003028297329922559,0.0015402258894466336,0.00532406961546185,-0.0024838138186449635,0.002850936993504716,0.003880463731955715,0.0017284597025063143,0.0029094523905312127,0.0025637918297705515,-0.002235852139979068,-0.0016677571833499003,0.0010586819819575978,-0.0012905222050160954,0.0015305752169009264,0.0015343080104225579,-7.685519039233438e-05,-0.0002449352258576933,0.0003656722683256172,-2.8298083385064677e-05,-0.00026196426425365737
0.028403310566303158,0.00809989595440912,0.0053557849075183805,-0.007701195444061443,-0.0005960269220983766,1.4117818103712006e-05,-0.006723523892809221,0.00016904415970609617,0.00417327422767744,-0.010370822355187714,-0.0013437055455175898,0.0016163523449998992,-0.0025160331777099054,-0.005877446560567791,-0.0012354542503434695,0.00040719212153572724,0.0013136099065225474,0.004315309637770761,-0.001109825972813937,-0.0020010824232652557,0.004909598417295765,0.0009542647541330669,0.0015297427428529126,0.0023084786831208616,0.0008286460206480378,-0.003907029707685094,-0.0004765675984825828,0.0034173082484237416,0.00010266881914713703,-0.0014638972561387845
