auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.785,0.8377,0.7146,0.6584,0.7812,0.1732,0.5208,7533,2985,2332,1210,3338,653,1,15065,85,1.523
0.7829,0.8338,0.7011,0.6766,0.7274,0.1826,0.6162,7533,2986,2172,1038,3509,814,2,15065,66,1.523
0.7796,0.8308,0.7016,0.6315,0.7893,0.1853,0.5396,7532,2985,2356,1375,3172,629,3,15066,66,1.523
