auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.218,0.749,0.2522,0.1833,0.4045,0.0913,0.4518,9177,487,197,878,7812,290,1,18354,76,17.844
0.2109,0.7494,0.2354,0.3182,0.1869,0.1121,0.7179,9177,487,91,195,8495,396,2,18354,79,17.844
0.2059,0.7407,0.2352,0.2586,0.2156,0.151,0.694,9177,487,105,301,8389,382,3,18354,66,17.844
