auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.8222,0.8434,0.7379,0.6919,0.7905,0.1723,0.5429,829,358,283,126,345,75,1,1657,89,1.317
0.8061,0.8312,0.7309,0.6621,0.8156,0.1836,0.5359,829,358,292,149,322,66,2,1657,84,1.317
0.7725,0.7994,0.6827,0.6875,0.6779,0.2055,0.685,828,357,242,110,361,115,3,1658,78,1.316
