net8_Limbic_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_alpha_peak_bw_p95,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Dorsal_Attention_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_cf_median,net8_Executive_Control_aperiodic_exponent_p95,net8_Default_Mode_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_offset_p95,net8_Visual_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_alpha_peak_cf_p5,net8_Temporal_Parietal_alpha_peak_cf_p5,net8_Somatomotor_aperiodic_exponent_p5,net8_Visual_alpha_peak_pw_median,net8_Dorsal_Attention_aperiodic_exponent_median,net8_Somatomotor_aperiodic_exponent_median,net8_Temporal_Parietal_n,net8_Default_Mode_aperiodic_exponent_p5,net8_Visual_alpha_peak_cf_median,net8_Limbic_alpha_peak_cf_median,net8_Default_Mode_aperiodic_exponent_median,net8_Dorsal_Attention_alpha_peak_cf_p5,net8_Limbic_aperiodic_offset_p95,net8_Visual_aperiodic_exponent_median,net8_Visual_aperiodic_exponent_p5,net8_Visual_alpha_peak_cf_p95,net8_Limbic_n,net8_Somatomotor_aperiodic_exponent_p95,n_total,net8_Dorsal_Attention_alpha_peak_cf_median
-0.004952446016586798,0.03845879965219095,-0.10712889594688155,-0.03826078883288968,-0.006554524254745042,0.02569078090479198,-0.014038199731904597,-0.008695950834225813,-0.04836387438658386,-0.0008155748963602604,-0.021819319998199495,0.005279110548167518,-0.005239986562257755,-0.021739886016955694,0.004401076885849502,-0.007252153468871386,-0.013477609035880965,0.0043574178459026116,0.01329901737574266,0.013149305964702618,-0.01862319896815601,0.007052897099100286,0.004861584723170124,-0.0034977184476763495,0.012733640086711278,0.017928611376035856,-0.0039646368438289465,-0.014412285323452921,-0.02240248963354357,-0.003206993278422311
0.06361071687194174,0.004758064362126355,0.026116753873615176,0.0034235900650891717,-0.017073913272804154,0.05131380259719502,-0.0024174245137404946,0.0014822305379231732,0.010061223730439288,0.012917942763068622,-0.015011078782078545,0.0052816765382331645,-0.02294186459831586,0.0006984093632625642,-0.0041389467162423164,-0.004322586311717318,-0.007257611563600769,0.04173259585222043,-0.026406020267834722,0.014126591227353817,0.005684313111475994,0.02123686073595274,0.015326833567130754,0.0006024518569371848,0.011978769789090656,0.000691132974012398,-0.007705383773358725,-0.012352987157799087,-0.008747960496762755,0.0035390161448274294
-0.07236175313446953,-0.03215229943892565,0.03856512621492564,-0.008111223245514353,-0.04664846038069108,-0.08524126499011864,-0.0054959533050860645,-0.016092464774155695,-0.025917873712396847,-0.0010361440344624185,0.009123602977197904,-0.08025834708220572,0.04480506399972378,-0.02604986382365484,0.026270251810309772,0.03652291284002671,-0.009999405463267545,0.03174568528089424,-0.029266927622693704,-0.001281410455337828,0.003177608377272046,0.00677855444603518,0.0010652472796839462,-0.0030466175782034783,0.0060293039427091865,-0.0152616529986011,0.0015135936090296133,-0.005254916025673116,-0.005675883039866485,-0.01459039155736105
-0.09214654656943667,-0.11360166225457496,-0.03580198267431682,-0.05083801461878082,-0.025788045208514774,0.017878732243651923,-0.02900923992085572,-0.04198807477759362,-0.037850618266764495,-0.033407998163055445,-0.016170932523354654,0.0011255091146483058,0.033876679584038706,-0.017114010775442154,0.024836669765111695,0.023049919968870472,-0.012012139801889254,0.03999418143672393,-0.004216881171025147,0.014365084935540425,0.025778521277064766,0.006038862185119215,0.0028765214749552474,0.034705685844770524,0.016864108859231394,-0.01168273497268661,-0.002089642960787642,-0.007524717544602131,-0.004156476119023913,-0.005171281614581521
-0.021867469648862242,-0.12105638036919075,-0.11182771560656142,-0.02071337661678438,0.0034274230634132436,-0.012803053228684615,-0.04269371808395534,-0.04646432006026183,-0.03952326726382583,-0.0554119363428031,0.06747860912527553,0.018444142765288687,0.038354046923446655,-0.03873137250912012,0.05183769673701058,0.04748203220070897,-0.013309595890201156,0.0418468530874041,0.04730129019309997,0.027435522623384286,0.039643233437391505,-0.008080061736908707,0.004376899720546678,0.007864174097766602,0.013389361790137045,0.022701161056213934,-0.010625901537765096,-0.013069444782737997,-0.01237878623578287,0.01549694249311545
-0.06301528331850974,-0.045309796439561706,-0.04505045914557961,-0.035752143644366186,-0.015863779145209887,0.028472304998335318,-0.03138381887216459,-0.02717026337112522,-0.013655984983111855,-0.07671144540747397,-0.012232514706301887,0.008821499754299283,0.04638895650352334,-0.016299269275691274,0.02302577979982629,-0.015336701185363445,-0.011674120352693612,0.0021810093516730143,-0.009204706102423183,0.010097552838468568,0.007136104956742998,-0.01013716231414092,0.010715121536369976,0.04369465008582509,0.016518429763755182,-0.008183744902002488,-0.010853010332889788,-0.01049320515222822,0.0008274235884683642,-0.00330918119849893
-0.023208611279890205,0.059964300521532114,-0.020714329856734694,0.014639208902064764,-0.029217894504287346,0.034901961275636356,-0.006481145156618683,-0.009187755077475709,-0.008103377229954644,0.058156550728902,0.030223998878150936,0.019281541767742934,0.030503380901897158,0.00432227026544419,-0.0007858701629408722,-0.007617536883105168,0.07978558882885708,-0.00738312777030257,0.058436918270085014,0.025828482904994097,0.0003738171011560068,-0.0066263393186334375,0.012976450594597526,-0.010440878838746712,0.004063177089618575,0.025783436219133257,0.024472140878568634,-0.008955909893324022,0.029296764860659085,-0.0043463657721045405
0.036128044318218984,-0.06172595379108152,-0.033858654360137984,-0.03320354295378075,-0.030175974947411394,0.0112022747655267,-0.014474738498873468,-0.02221698576481837,-0.036398324240177256,0.008503769847926734,0.012894182549734868,0.012171764873244437,-0.009631705001640602,-0.005765786903747099,-0.000929872373321754,-0.005920850606201408,-0.008724118987044453,-0.011823162432215619,0.009455428859616479,-0.009574042285867864,0.003640914848665017,0.007756014515625462,-0.004321793323778819,-0.0027605399412330834,0.0040509648457779865,-0.017313747246156568,-0.007877209153888424,-0.011894167122483545,-0.014253187961777965,-0.017932743124165505
-0.028865459700449778,-0.05190503415093681,0.06034837191526469,-0.01478856248147538,-0.030672734955676306,-0.06387651094321734,-0.0009414140774370059,-0.012406433738001255,-0.014504703459467609,0.001974052444378749,-0.032972439073637304,-0.07963559206872226,0.04155999164084671,-0.01720293854836176,-0.0021935826262169393,0.005469241648257362,-0.010461286807154874,0.026211305650074516,-0.018598124819330666,-0.014984471575368,0.008162294262835374,-0.03374037833286033,0.01138377135351069,0.004273976657101748,-0.0025409038802706994,-0.04092565567031937,-0.0048317767820940435,-0.012952722862850617,-0.006154923829138075,0.02084531631134482
0.0576141314461747,0.012645632041775984,0.016722457994711514,-0.03773641998418312,-0.04098829377925876,-0.042994884455704076,-0.017850896106944923,0.022160088748084002,-0.053496668763521174,-0.002624877227735044,-0.027542606139520608,-0.0571749619306189,-0.011700191129700563,-0.001019549829963309,-0.010165421363181293,-0.030997286875488358,0.04097302380035464,-0.015518965594570014,-0.004785534961425278,-0.02411759209370176,-0.010562029637923463,-0.005747582254937462,0.02329771592798749,0.0032444489293201014,0.00811624766250873,-0.014249909474311921,0.013332470067722728,-0.008492480605686487,0.00589975879718034,0.004392218365887241
