auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.8466,0.836,0.7732,0.7081,0.8515,0.1649,0.3922,2108,1091,929,383,634,162,1,4215,90,0.931
0.8621,0.8444,0.7766,0.705,0.8645,0.161,0.3569,2108,1092,944,395,621,148,2,4215,82,0.932
0.8581,0.8471,0.7837,0.7382,0.835,0.1683,0.5588,2107,1091,911,323,693,180,3,4216,84,0.931
