net8_Limbic_aperiodic_exponent_p95,net8_Default_Mode_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Visual_n,net8_Default_Mode_aperiodic_exponent_median,net8_Temporal_Parietal_aperiodic_offset_p95,global_aperiodic_exponent_p95,net8_Somatomotor_aperiodic_exponent_median,net8_Executive_Control_aperiodic_exponent_p5,net8_Limbic_alpha_peak_cf_median,net8_Temporal_Parietal_alpha_peak_cf_median,net8_Dorsal_Attention_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_bw_median,net8_Dorsal_Attention_alpha_peak_pw_IQR,net8_Somatomotor_aperiodic_exponent_p5,net8_Temporal_Parietal_alpha_peak_cf_p95,net8_Limbic_aperiodic_offset_median,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_bw_p95,net8_Visual_aperiodic_exponent_p95,global_aperiodic_exponent_p5,net8_Salience_Ventral_Attention_alpha_peak_bw_p95,net8_Visual_alpha_peak_pw_median,net8_Limbic_aperiodic_offset_p95,net8_Limbic_alpha_peak_bw_p95,net8_Default_Mode_alpha_peak_pw_p95,net8_Executive_Control_aperiodic_exponent_p95,net8_Executive_Control_alpha_peak_cf_p5,net8_Visual_alpha_peak_pw_p95,net8_Temporal_Parietal_n
-0.06512341344960175,-0.06669133438083452,-0.028698523339351092,-0.022965417192695,0.05694241858368445,-0.044150371190097466,-0.02447497232580674,0.02074782697502499,0.023798937033621004,0.01152484638455541,-0.00189109705831713,-0.01961636175582013,-0.011270441709388773,-0.02442677251313428,0.00815626791197927,0.015583418638739273,0.010547620676730905,-0.005449152305636493,-0.03241103839730685,-0.0012345786045935253,0.008911674157931999,0.000836568550797451,0.008337965483366117,-0.015531939880319928,-0.028953951042484126,0.010139538981848006,-0.010095491325131635,0.01623897054503813,-0.013895679210337759,-0.009221161877659362
0.06894113722634464,0.049082031267357974,0.05558330124986153,-0.023308829754365736,-0.059141898495063544,0.06018512151585134,0.03278332026108877,-0.050445025959044695,-0.08245367267777473,0.010562636332516804,0.024815964833556373,0.026183026923791375,-0.013405927154408215,-0.07070939822247363,-0.029775717326339688,0.01725508733201221,-0.0876287423457433,0.01084975710793841,0.009021114758179882,0.019969090557598292,-0.03190882116299228,0.009791017024015806,0.008862961686314608,0.013793464096249734,0.007644892394556839,0.009803985921331429,0.020803412616172783,-0.009136637127757655,-0.009912013303452535,-0.00467688587305996
0.11829690431801985,0.06628858934964436,0.06018122979968693,-0.02388371475425193,-0.05944680229155908,0.06645153287780943,0.03274876468924953,-0.06301504557254553,-0.06801814839363401,0.02736399717588403,-0.00704881615297858,0.03802251108392387,0.007647076129501524,-0.05676649731046683,-0.07656734604616973,-0.014116927432287414,-0.070594319951962,0.019774371875409997,0.007511613117890199,0.010332697513234883,-0.031017738631401198,0.0076269831341766745,0.010063414801547356,0.03378845992721487,0.013093139420734477,0.025883440217396837,0.019343429588044254,-0.016087236884461974,-0.016915990873212675,-0.00680653920391657
0.11951885371915899,0.07441498045942695,0.10412655366173165,0.036053093418862835,-0.030836386716328976,0.04894946784823819,0.04033735884450284,-0.01726284774962248,-0.04109802417506807,-0.0018170582165544247,-0.005105201822744163,0.025868083469396046,0.02785124207704037,0.01155441980684253,-0.007096091550420196,0.0004083826779707861,-0.04673468972831235,0.020777513077268623,0.017261368194885014,0.015081296680815856,-0.015743354274368574,0.017833098716934878,-0.010363769093231839,0.005876746630769969,0.007962220789600466,0.008918115771319828,0.01611631632195901,-0.011529444770975929,0.0015012556392574022,-0.0035358942216222387
0.04331609904978092,0.010683441882057765,-0.01807875423393082,0.1793709643935509,0.03533247538072567,-0.005320181610278022,-0.005258866217738686,0.005377636519659839,0.00831336356821621,0.012919614457313015,0.029292673043053302,-0.002420511832906231,0.0033283680318398523,0.01008283255180404,0.004663162270698185,0.019590725254621712,-0.0036254785315416103,0.00456154349686949,-0.00166599204165853,-0.0023557929287037916,0.005520084244329237,0.003323741873010366,-0.007413242384214089,0.0017598719825847988,0.0034902611691644187,-0.010626220744628372,-0.0030427589469428267,-0.001528069286653315,0.016563739999984086,0.03329141097338218
0.09530324645828259,0.0789936847865891,0.06817437710309761,-0.014911030052183338,-0.05591449016657062,0.0514043296818032,0.0385840839433239,-0.040811187339644756,-0.0041357012107874035,-0.0237873887047358,-0.018228396885481005,0.028294392959398437,0.02634715980950707,0.03321133894377808,-0.03026782615316435,-0.004259908250151945,0.006521482102425685,0.024237414578906352,0.0138940644921653,0.020612128496400803,-0.017924613616800228,0.011933636706211972,0.021063733036762435,0.02879993554181163,0.010073791552026461,0.01622454145097184,0.010984358756099448,-0.00967955889529074,-0.001907514746984115,-0.00434082870075318
-0.01224066408689991,0.07570584687891999,0.040640732019155565,0.1454570684934082,-0.022597902635694354,0.016663157805809813,0.03790639809686623,-0.018357532266325857,-0.030612080981448818,0.012024332679310494,-0.0029523388924287274,0.028742573287205756,0.0064547700364022235,0.014307941881531623,-0.014607473603595903,0.005723440153354987,0.013610497617001258,0.017381035734752283,0.006535195514730227,0.016100009954235665,-0.013327054848012963,0.008087586920884285,0.056026419513536416,-0.003818343562253082,0.00034899764331511535,-0.00698326492562374,0.02067272440167197,0.005404141724080913,0.03406473974236177,0.03334911588767647
-0.033983576573882956,0.08822552529746408,-0.04100762487687391,-0.01213915216117643,-0.031239696753156458,-0.008206271242123218,0.033954861455027414,-0.010055165354085524,0.01333641777918404,-0.02396099551263218,0.06389682958795126,0.02431452622071384,0.010236528484652063,-0.0031320188870848998,0.00512994352042246,0.029061504351391543,0.018658670309892135,0.016581484146303786,0.017682416159091944,0.03419833410440754,0.0071167920634389,0.021317408956741658,-0.004143962128135532,0.00042790171338961757,0.017357291706640552,0.009563689614566469,0.015943887336981724,-0.012988392643050987,-0.007758006572469322,0.04169973394810958
0.06842613005787403,0.06637481019677895,0.04993034588498401,-0.026927123106397822,-0.0455073203490217,0.07076911975754055,0.029711402780488182,-0.04041440952900774,-0.006632779848451782,-0.019854459697198665,-0.014738936094297604,0.02160341678988593,0.011544663985631668,-0.08047675797905991,-0.04069587099482924,0.013766502658743685,-0.006744628174424806,0.017058740915001515,-0.016634253057066267,0.025191728481156,-0.012818408208686117,-0.013524744768599667,0.016182864740873455,0.01270630483065207,0.0037557572244583674,0.01254607042419406,0.009685876758995573,-0.008945909806719735,-0.013397539040493546,-0.00692570588367272
-0.0670068106807408,-0.06639447033995151,-0.02793369219929352,-0.02399583812331349,0.05874403920367609,-0.07696996545803404,-0.028384044126216375,0.01982194013086795,0.03350400050622177,0.01762097180336372,-0.005353614823035255,-0.026207020034861514,-0.019258774654500058,-0.008198670257792882,0.011485028281927328,0.028641629833276238,0.007686274150305538,-0.029228692192905283,-0.02795069728149431,-0.01545237040500929,0.011017876717089639,-0.008163346114301154,-0.0013275111405706857,-0.03986833528106168,-0.0033857483873583538,0.027931759942847644,-0.01470452992920254,0.042775977862367774,-0.011796969336837328,-0.008478012333046826
