global_aperiodic_exponent_p95,n_total,net8_Visual_alpha_peak_pw_p95,net8_Limbic_aperiodic_exponent_p95,net8_Dorsal_Attention_aperiodic_exponent_p95,net8_Visual_alpha_peak_pw_median,net8_Limbic_alpha_peak_cf_median,net8_Executive_Control_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Default_Mode_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_bw_p95,net8_Dorsal_Attention_alpha_peak_cf_median,net8_Temporal_Parietal_alpha_peak_cf_p5,net8_Salience_Ventral_Attention_alpha_peak_cf_p5,net8_Limbic_alpha_peak_bw_p95,global_alpha_peak_bw_median,net8_Temporal_Parietal_alpha_peak_cf_median,global_alpha_peak_cf_median,net8_Visual_aperiodic_exponent_p95,net8_Visual_alpha_peak_cf_median,net8_Dorsal_Attention_alpha_peak_pw_p95,net8_Visual_alpha_peak_cf_p5,net8_Dorsal_Attention_aperiodic_exponent_median,net8_Dorsal_Attention_alpha_peak_cf_p5,global_alpha_peak_pw_IQR,global_alpha_peak_bw_p95,net8_Limbic_alpha_peak_cf_p5,net8_Executive_Control_alpha_peak_bw_median,net8_Salience_Ventral_Attention_alpha_peak_bw_p95
0.044263535499259786,-0.008327109079463975,-0.03633355720284014,0.0027629987290380114,0.005444343897664016,-0.043936313010286936,-0.003021789695692332,0.002659018482189992,0.008379530003660691,0.010700425883043518,-0.0025140075414088357,0.009948677916976704,0.0017854694010497702,-0.005661020677004966,0.0016457916532973175,0.009924391186324195,0.027761408873934475,-0.0032840105228080295,-0.0003160955464843615,0.0013518200415072786,0.0039761268659978845,0.00038216671796634504,0.0041854440594289895,-0.004036995431559396,0.002020900756830804,-0.009859980186201862,0.006294858775278873,0.0027480842760723486,0.004226592607931433,0.007723538520306046
-0.0666449414999206,-0.008672635877199,-0.007965914298520676,-0.014280601883145411,-0.01332197235462763,-0.0031710532319001988,-0.010353149341459152,-0.017038672971025275,-0.01575899373011758,-0.0032745753092947617,-0.00680288748275901,-0.007436701539760273,0.008699534428185081,-0.008534024288775272,-0.008124361175057592,0.00796844381915982,-0.002961163031325648,-0.0014098528559930755,0.0003068347411953172,-0.0012922224538943461,-0.0038297542080740214,0.0005429919502732988,-0.0030669651644806796,-0.0004077083543505358,-0.005887234496010455,-0.0015851191248002616,0.000789679043712924,-0.0044705677532905766,-0.0016085610866668014,-0.0028693103908133495
-0.06199945188371733,-0.02345219751760984,-0.0031600904554794063,-0.011005673384357548,-0.01665957551643201,-0.014491841547478027,0.013342013880338384,-0.016954843810015746,-0.00713321804614484,-0.0019434394032238362,-0.012369232083177941,0.002890028027236406,0.0014427510379837547,0.008663539202422615,0.004279595689210682,0.00250073251076194,0.0017381155190481449,-0.004085516241397492,0.003200303755458504,0.000358655443146373,-0.0029436347109362366,0.0004931239126507947,0.007115258418283215,0.005373958523018183,0.008945648892088988,-0.0038863004978717556,0.0058371750408981425,0.0016817465384114127,0.0027162543158777753,0.003220261469276126
-0.0463459467788646,-0.015519293997011194,-0.015391177341629432,-0.009064377505928065,-0.014467941263108648,-0.013409613596968096,-0.013906554697583569,-0.012271423641167727,-0.009045790599850018,-0.009127810030902296,-0.008412288242102977,-0.004691316367112692,-0.014750713822054872,0.004999522056541569,-0.014209260692466525,-0.002505922760822366,-0.00018579298657018958,-0.0029593618127877154,-0.000947040030162766,-0.0033509745864171094,-0.0034117105918671327,-0.0040949770147654515,-0.004077488882381518,0.001715899612796184,0.0002808816215617938,-0.0046086541489697,-0.0015085514794003236,-0.004281309128276229,0.0021686160254665633,-0.0029458347968896043
-0.07586804809768763,0.001424134214053017,0.004268560414940961,-0.0181277688893957,0.010354807051606971,0.00025871028073928316,-0.03347323642440573,-0.01880476401232036,-0.008340806381881534,-0.0062586832357393206,-0.008250317982221313,0.004458245138298066,0.005509945300837708,0.00579117785887527,0.002482563935020769,0.003594923280440896,-0.003882946535086369,-0.0035688143895753095,0.003312339668847445,0.0009528200025613865,-0.0014734897691492238,0.0005596578873979217,0.003729205893589672,-0.006686330512058454,0.000942385985457267,0.001521090217509873,0.0031117167221665805,0.0022264223427892614,-0.0027340584585679815,0.0017472314211062487
0.07563144408923066,0.056464417864211545,0.02863112364735416,-0.0016348825662973617,0.012134708099910584,0.019312440592455172,0.011967191646252071,0.01722747573427291,0.013355143308180141,0.008190225741242181,0.008202306410647687,-0.004355378204804941,0.0037989845521792963,0.0021532204939695414,0.002109024222549452,-0.0026587409411693253,0.0016225495000954458,0.0036149002091149275,0.006181326225997819,0.0036681835477796266,0.0003028106851676295,0.0046807960192813665,0.009482311905864687,-0.0035911251364675917,0.0034394639342486665,0.004073557843468746,0.000180967888145642,0.003246062462084886,0.0019470660529663352,-0.00149421629017066
-0.032921937338415204,-0.016354281474074524,-0.01024207673248062,-0.010489136027986866,-0.01018859116402914,-0.013416933620538064,-0.01823014058051397,0.0002865211590108075,-0.003258671502831914,-0.0006294791377232298,-0.0064212436354803325,-0.0023945358629745062,-0.008279046621857881,0.005749040061371717,0.010929453409391849,-0.0054608150150513065,-0.0036238037804607152,-0.007315481891440583,-0.0077271467225681545,-0.0029439617300202753,-0.005421133515380273,-0.0029886558315108352,-0.004382127407051276,-0.0014385476603273068,0.0027244423912425124,-0.0029474865662631796,0.0006799331892640465,-0.00616892745565343,-0.005148144203425405,-0.0026279993738603223
-0.05533824947843394,-0.022531156682633783,-0.02551644253129594,-0.011167650229349237,-0.012338381299634205,-0.014936855940296805,0.006602807931207722,-0.018843017498989853,-0.018944165552797286,-0.006468771237107732,-0.01050726808260879,-0.005803972643392619,0.004189289052962986,-0.006078298648034258,-0.004216093576698433,-0.009646843625901408,-0.004095721499695356,-0.0003736592052609917,0.0016167179859721207,-0.006193605578704505,-0.0011226488971061994,-0.004402583495684266,0.00019669399222494368,0.0017722465006777927,0.0008560945578305148,-0.003373039698178049,-0.011357960103590015,0.00010660756899531045,-0.002932954817394397,-0.004091943032079692
-0.05459538181065133,-0.031713266307856314,-0.02107711167272773,-0.030236672763816568,-0.012688550646205624,-0.00849021507138549,0.012015424833706339,-0.01777951962210773,-0.006067333706759765,-0.0137123605507707,-0.013664150691012853,-0.004304059769362405,0.008744875316647478,0.008243754865938419,0.004557823381161374,-0.0013432195926192756,-0.0020446773513672165,0.004237867516870835,0.0037691830065853344,0.0019057548982235623,-0.003033008699841967,-0.0036187901196353296,0.0033507806403738124,0.0035467823281922243,0.007137486065414035,-0.0022098330732760814,0.0010799063527064954,0.003382099330406898,0.0007975629985308521,-0.0014855478324471883
-0.031126644784265686,-0.016877208099742497,-0.02599025697531468,-0.00665291430134916,-0.011387679671331245,-0.01573984919801382,-0.014935096530808697,-0.007284432250891126,-0.012875056742355572,-0.010807870461097453,-0.004733822844643494,-0.00463571762368825,-0.010395638710179218,-0.007924314677290408,-0.008225887153612358,-0.008407450279822063,-0.0038118271858354367,-0.0067289573989719655,-0.00507730556809473,-0.006013490133931031,-0.003303360557088601,-0.004215781439360982,-0.0034478842457282767,0.00366280163324111,0.0005803278657551148,-0.0031566673361358307,-0.00786932530210383,-0.002000612442670577,-0.0028887720736249928,-0.0024946321885868975
