auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.798,0.8698,0.7228,0.7022,0.7445,0.1873,0.5149,1596,548,408,173,875,140,1,3191,92,1.909
0.7837,0.8572,0.7004,0.684,0.7177,0.1511,0.5149,1596,549,394,182,865,155,2,3191,88,1.911
0.8145,0.8737,0.7211,0.6581,0.7974,0.1425,0.4357,1595,548,437,227,820,111,3,3192,91,1.91
