auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.2059,0.7406,0.2406,0.1816,0.3567,0.1428,0.5649,10956,586,209,942,9428,377,1,21910,69,17.711
0.1719,0.7189,0.1926,0.2177,0.1726,0.1278,0.6613,10955,585,101,363,10007,484,2,21911,79,17.695
0.1897,0.7307,0.2468,0.2197,0.2816,0.1257,0.5819,10955,586,165,586,9783,421,3,21911,77,17.711
