auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.7326,0.7703,0.6769,0.5731,0.8266,0.1975,0.2186,3278,1442,1192,888,948,250,1,6554,74,1.274
0.7114,0.756,0.6696,0.5497,0.8563,0.2406,0.5415,3277,1441,1234,1011,825,207,2,6555,59,1.274
0.7467,0.7778,0.68,0.5971,0.7897,0.2011,0.4901,3277,1441,1138,768,1068,303,3,6555,78,1.274
