auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.4402,0.8928,0.4771,0.3643,0.6912,0.1101,0.63,9246,761,526,918,7567,235,1,18490,76,11.148
0.4269,0.8896,0.4721,0.3726,0.6439,0.1282,0.6591,9245,761,490,825,7659,271,2,18491,72,11.149
0.4154,0.8887,0.4869,0.3811,0.6741,0.1134,0.685,9245,761,513,833,7651,248,3,18491,77,11.149
