net8_Limbic_aperiodic_exponent_p95,net8_Executive_Control_aperiodic_exponent_p95,net8_Visual_aperiodic_exponent_p95,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_cf_median,net8_Temporal_Parietal_n,net8_Temporal_Parietal_alpha_peak_cf_p5,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Somatomotor_aperiodic_exponent_p95,global_aperiodic_exponent_p95,net8_Visual_alpha_peak_pw_median,net8_Dorsal_Attention_aperiodic_exponent_median,net8_Visual_aperiodic_exponent_p5,net8_Default_Mode_aperiodic_exponent_p95,net8_Somatomotor_aperiodic_exponent_p5,net8_Somatomotor_alpha_peak_cf_p5,net8_Limbic_alpha_peak_cf_median,net8_Dorsal_Attention_alpha_peak_cf_p5,net8_Salience_Ventral_Attention_alpha_peak_cf_median,net8_Limbic_alpha_peak_cf_p5,net8_Salience_Ventral_Attention_alpha_peak_cf_p95,net8_Executive_Control_n,n_total,global_alpha_peak_pw_p95,net8_Temporal_Parietal_alpha_peak_cf_p95,net8_Default_Mode_aperiodic_exponent_p5,net8_Dorsal_Attention_aperiodic_exponent_p5,net8_Dorsal_Attention_aperiodic_exponent_p95,global_aperiodic_exponent_p5,net8_Salience_Ventral_Attention_alpha_peak_cf_p5
0.032919393698125674,0.0077865718391242214,0.017660384490012962,0.006624861409259335,0.023313403374774357,-0.02182800458253193,0.010775452038943003,0.03528363653957906,0.008433816990493082,-0.011683950034352858,-0.011606421774698322,-0.017908934244186603,0.01137434679192614,0.012465489056472568,0.0025077389877420438,-0.012286386332536607,-0.000943692362696205,-0.00616182380037283,0.008532158213405677,-0.003862147133181745,-0.00986572615056727,-0.007533117136944306,-0.004391867157526888,-0.0047436904434192215,-0.005897627736761633,0.005585629632479038,0.008662161135297441,-0.004335155528570901,0.006173353581465974,0.0028517229222691644
0.04019384825809858,-0.0016311192088028909,-0.000416222951280034,-0.019799949346817235,0.026723657020758983,-0.014765481334184283,0.005827454049692656,0.019697502384030334,-0.004290398092081383,-0.011375682370308875,-0.004180717848937454,-0.010244209568724336,0.01052586585946648,0.010579146463321287,0.00913143688709207,-0.01106126033735565,-0.00920717731682168,-0.020110524082170844,0.00903726890531258,-0.0054728110658475125,-0.006586942784418454,-0.00427846532067567,-0.005111210283225884,0.010128444443930467,-0.0039477063667498315,0.004711298298141422,0.009730172397876834,-0.006797890814788341,0.006491466153557684,0.002475345941944365
-0.012838557920278004,-0.02507186756638537,-0.014563561537522989,-0.02162482315696431,-0.05539725369897495,-0.008740999445660893,-0.042537917756609776,-0.01333778665068189,-0.01826699611613491,-0.012786760358458112,-0.008146837346960834,0.00387097616786181,0.009604765894525765,0.007046258383300751,0.010109107317418846,-0.010104322809271048,-0.009770727740474251,-0.014426272285420096,-0.013653686081210242,-0.0021468601253574597,-0.004093309430977597,-0.004803168939584925,-0.0015127247160095314,-0.0032293389733757606,-0.006268060519175589,0.004231647157571065,0.008134868981981139,-0.0064183763049511676,0.00564345096121235,0.0008470904365459208
-0.04874320004527303,-0.045361518182251,-0.03922608400907981,-0.017954085522302966,0.012179026294169247,-0.022931934669639133,0.0062342495845162235,-0.03476087817086169,-0.016213880909002124,-0.011099869594821789,-0.009361660985594978,0.04210294471763785,0.00011152601538127659,-0.032614448040276085,0.011843285116933944,-0.006592091647776032,-0.0022920705581619925,-0.0018739183792820025,0.007429765557366559,0.003665448703737958,-0.006032809570449566,0.019772575755033335,-0.007722852409186442,-0.01383451940807957,-0.008295543026945892,0.017153275426778164,0.0016208914369490476,0.007856163156851144,0.0035634626204893542,0.0008438187281916157
-0.0072361588992130655,-0.031159704964686515,-0.0444057063700329,-0.01988389462980521,0.009895591290921395,-0.020002268874626722,0.04323684055097617,-0.03476813933825642,-0.0128928426860699,-0.002781721984844698,-0.0006872478832708447,0.013735812036445612,0.010247371116542498,-0.01744079219550134,0.014185154801109325,0.008981843360346358,0.053290625157042054,0.007435120165127418,0.014314672094034687,0.03219746878042328,-0.015540068333567724,0.006975785047056989,-0.00851282289301314,-0.016793533644219687,-0.032661632817179584,0.005459074743548169,-0.006511278919030073,-0.008130592154311852,0.0048403772295731165,0.0016836050023053923
-0.010999178638178276,-0.022380845775342037,-0.033720602904417356,-0.02112425181145259,0.021315773789298526,-0.01476880933918599,0.008224427516656094,-0.015344799386802476,-0.012547027271679764,-0.009927527504079221,-0.0022486610084581403,0.03244906729570882,-0.0014390016917333237,-0.021847220977563465,0.013189547181167542,0.012894930227960287,-0.00984341147075587,-0.007613168244331768,0.01148948023264842,-0.0065086550155855185,-0.006334288978157583,0.015942619334632115,-0.00566814447634562,-0.008578443144804292,-0.0069715337964513435,0.0035994001308826094,0.010230110723852413,-0.006670031163377865,0.004830460969170353,0.001110989502179539
-0.011333159664664434,0.0011447494516724102,0.05031846023364825,-0.00897717102780261,0.020191860178444876,0.055446284300680576,0.019976990691753085,0.019705589535722948,-0.0013029732691759324,0.03923299526949593,-0.004142777054037357,-0.0038480316721124105,0.008122744694545074,0.009638353145081187,0.011834194276990152,0.010887666938811505,0.032431077184267035,0.02005675391611977,0.011757107483170206,0.02727038275554274,-0.010385303493605936,-0.016347044576353876,0.006035194905506125,0.00825110979800427,-0.00509077969155466,0.0028283355256307386,-0.002618636583108595,-0.004984765444005102,0.0033531935515172264,0.005345316837667986
0.03904756344666735,-0.012405182152395118,-0.0007919103239195018,-0.02254370765722332,0.013768353629322865,-0.017831297612561324,0.011996133588381414,-0.015484336101822342,-0.0097649188041521,-0.007464473178837685,0.001034509856234454,-0.007916074074767491,0.009135479318778455,0.005061570156404293,0.00633930120526333,0.013376405706799299,-0.009781908642896913,0.013581962795318507,-0.01910633296706132,0.025642654750017573,-0.010577220175192126,-0.002497069051744899,0.0013898519883960591,-0.007338002069253097,-0.006801949819338639,-0.002227265880350401,0.011377716302462062,-0.006577531343047365,0.006045505200286755,0.0014918550481605604
-0.010939866725814026,-0.004557860905966482,-0.013669142366687799,-0.013374914509439036,-0.053576765126698074,-0.009605424070610942,-0.04791323865592908,-0.020683698857981932,-0.011454350188738993,-0.013969729270194743,-0.009235836706414592,-0.011837648626286685,0.009664652155804464,0.003623173856780782,0.010576609987551024,-0.01617974997735103,-0.013093030895006892,-0.014571806260722226,-0.009495084736329538,-0.006863536877779023,0.010400193309493764,-0.004732048370080898,-0.006921059925651225,0.005580401169126665,0.005595237490889439,0.0035445348758481364,0.00725577321098291,-0.006458800482390721,0.0072606330246007995,-0.015423418028430003
0.03741510982665864,0.048000263321092,0.03724127436118609,0.017305634659349218,0.011208421948394998,-0.027395046141920548,0.012080243371906763,0.02478325960013454,0.008374679407920353,0.03880404168219705,-0.008185068262089984,-0.04229716672463388,-0.04647139261116887,0.019704448843076487,-0.0436929443922581,0.009771398175750946,0.005428678807420078,0.01663431179455796,-0.006629095990637426,0.0019450876231550509,0.012100797958808952,0.0019506876304179548,-0.014991309108324434,0.00784859712984968,0.01879752287106147,-0.006641340539127541,-0.004661110480483508,0.017985403158055066,-0.008680646220638275,0.007252880710059945
