auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.3965,0.7159,0.437,0.3321,0.6387,0.1775,0.4242,7633,1528,976,1963,4142,552,1,15266,58,3.995
0.412,0.7308,0.4419,0.3446,0.6158,0.205,0.5149,7633,1528,941,1790,4315,587,2,15266,74,3.995
0.4216,0.7261,0.4412,0.3283,0.6721,0.3117,0.685,7633,1528,1027,2101,4004,501,3,15266,63,3.995
