auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.1984,0.691,0.2264,0.2091,0.2468,0.1404,0.5417,11388,932,230,870,9586,702,1,22776,66,11.206
0.1812,0.6801,0.2371,0.1775,0.3569,0.2476,0.6314,11388,933,333,1543,8912,600,2,22776,66,11.212
0.1923,0.7014,0.2496,0.1875,0.373,0.3426,0.7385,11388,933,348,1508,8947,585,3,22776,69,11.212
