auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.4682,0.8172,0.4993,0.4287,0.5976,0.1476,0.5622,11388,1777,1062,1415,8196,715,1,22776,86,5.409
0.4627,0.8249,0.5084,0.4302,0.6213,0.159,0.598,11388,1777,1104,1462,8149,673,2,22776,85,5.409
0.453,0.8194,0.499,0.4016,0.659,0.1488,0.5162,11388,1777,1171,1745,7866,606,3,22776,78,5.409
