auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.7078,0.8413,0.6147,0.7701,0.5115,0.1424,0.7994,574,131,67,20,423,64,1,1147,82,3.395
0.6207,0.8368,0.6111,0.6364,0.5878,0.166,0.7369,574,131,77,44,399,54,2,1147,84,3.395
0.6704,0.8421,0.6159,0.5822,0.6538,0.1267,0.4043,573,130,85,61,382,45,3,1148,80,3.382
