global_aperiodic_exponent_p95,net8_Somatomotor_alpha_peak_bw_p5,net8_Visual_aperiodic_exponent_p95,global_alpha_peak_pw_median,net8_Dorsal_Attention_alpha_peak_pw_median,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Limbic_aperiodic_exponent_p95,net8_Default_Mode_aperiodic_exponent_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Dorsal_Attention_aperiodic_exponent_p95,net8_Somatomotor_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_cf_median,net8_Temporal_Parietal_aperiodic_offset_p95,net8_Limbic_aperiodic_offset_p95,net8_Temporal_Parietal_alpha_peak_cf_p95,net8_Dorsal_Attention_alpha_peak_pw_p5,global_alpha_peak_cf_median,net8_Dorsal_Attention_alpha_peak_cf_median,net8_Temporal_Parietal_alpha_peak_cf_median,net8_Temporal_Parietal_aperiodic_offset_p5,net8_Salience_Ventral_Attention_aperiodic_offset_p5,net8_Limbic_alpha_peak_cf_p95,net8_Dorsal_Attention_aperiodic_offset_p5,net8_Dorsal_Attention_aperiodic_exponent_p5,net8_Visual_aperiodic_exponent_median,net8_Somatomotor_alpha_peak_cf_p95,net8_Somatomotor_aperiodic_offset_p95,net8_Visual_alpha_peak_cf_p95,net8_Limbic_alpha_peak_cf_median,global_alpha_peak_pw_p5
-0.03948058953341307,0.02057037977291845,-0.02172899289075435,0.01655906854815241,-0.004389748523659219,-0.030397631202384687,-0.017056866244662884,-0.05974053507625171,-0.021448835303103278,-0.018180527861849313,-0.014382563647369707,0.008851624258322971,-0.010057327017406834,-0.003758379433965233,-0.007099578944602593,0.0018186141718722745,0.005147668157029753,0.004901230018206237,0.002076102512000558,-0.00784528391815671,-0.00874530738569038,-0.009991992845537138,-0.003383985513594711,0.004017062535736727,-0.006138402468767207,0.0020057349530893664,0.004624722700478814,-0.0034487683622313804,-0.00132012651657304,-0.0020955765485052317
-0.02266596659295633,-0.02263503848961319,-0.012586230401820574,-0.030848125792882958,-0.015180567937339294,-0.01629401265860951,-0.015472921070137141,0.004937669005935048,-0.009820367067485836,-0.004600247574073079,-0.007539850989956611,0.0008390541682229065,-0.009127025036397375,-0.008444632808303189,0.0024578584112184246,-0.01847093754289594,0.0032782217882486764,0.0008409409379088713,0.0023833910047876524,-0.009564043817627004,-0.006581809667930363,0.001588445288669398,-0.0038508426688630415,0.0032992544156690644,-0.005123062819078534,-0.008885207440197669,0.0035087056148446166,-0.0033408193244845712,-0.0016377446002331165,0.008807774632211343
0.038343207108656865,-0.0024477570102864232,0.039749586338774595,-0.06706126227518973,-0.01845492002654264,0.008133562154529395,-0.00664425363096403,0.006701359583638355,0.015443304615904888,0.007099744780526337,0.005028903705984927,0.009446454419183065,0.003315631398861386,0.02534953304902562,-0.0014941675007987573,-0.004684736246274059,0.007280589756621591,-0.0029869737878665775,0.0004781773247703445,0.00432351866649652,-0.002598393467081407,0.0007436432784169027,0.0012144181646168042,-0.006643729148453292,0.007621257883006037,0.0015474137337645863,-0.007348214401729364,-0.001473856491476313,-0.008626431934371084,0.0035404456735211192
-0.03431939928335006,0.06256430061773476,-0.013821403924551492,-0.02861581270803199,-0.016981937239811826,-0.011888231876541849,-0.020584038642237446,0.0007830934901132205,-0.0017296786815592412,0.002147302839544997,-0.0059266492000693005,-0.011224190920140082,3.9439415512131205e-05,-0.0010392001032288514,-0.007394379754902685,0.013239868160014738,-0.005484874375531681,-0.01033905434896602,-0.008596141181926694,-0.007186271577589293,-0.0034411692847093676,-0.007204976021399234,-0.0037027775290291954,-0.0030410043729563697,-0.0042326742551199465,-0.0016218188454734431,0.0037496952649382982,-0.004678487274778207,-0.002870878602206185,0.008576715409689179
0.04496927924511876,-0.0008451420547938471,0.07308739531268954,0.009770229200886014,0.011001320137795199,0.004952714711965453,-0.006350758986649791,0.010659060993415386,0.0355539994655352,0.0099385061888068,0.00938777094520338,0.021632622572794427,0.0035455162425252324,0.011037227945724976,-0.0062920268493452825,-0.0017554236592692025,-0.015136971734817848,-0.0015261184266542414,-0.012805106099307169,0.011534245022214897,-0.03065002350853047,-0.00044390754128475476,-0.016794625345691202,-0.011563770271670437,0.015080892052514389,-0.00035624577830567326,0.003770643126207527,-0.006187687969127086,-0.0001099972965468181,0.0027231094692806495
-0.02581387461106913,-0.010431308273165806,-0.019000427942033625,-0.011656677056984175,-0.01999641908355243,-0.018936868879288925,-0.0014825163368870986,-0.03003618795897703,-0.013605110029290362,-0.01293104577835787,-0.016531906739594582,0.0005209451343343479,-0.008200778031431656,-0.009600909020949672,-0.006392946331122371,-0.0048101653229906905,-0.0063977841327132615,-0.00530673087496839,-0.003181826842909154,-0.006109473164059539,0.0030852123964615103,-0.005998623840625144,0.0012923832881500316,0.003837792243393226,-0.003303368398134143,0.002247333111897694,-0.0006071595162962133,-0.004228163628688643,-0.0033921037588174946,0.008423548691797546
0.025752089422858025,0.03717006149244171,0.015908602520970944,-0.075543357355096,-0.03534696898275746,0.014296892984130394,-0.01650708905898822,0.0026985110238354833,-0.0014997644160519535,0.008727967597193692,0.011216132594762096,0.008946519603483494,-0.017129593281315084,0.008110920369733788,0.0009580715018135143,0.0010989294811831094,0.0045595937652749205,-0.0002577098736938163,-0.0006669935195581714,0.001175919596194883,-0.0034276902220938443,-0.0013545096039368058,-0.011071249396277589,-0.005214464515423915,0.0028550612742578294,-0.0041484287379099155,0.00637213454101494,-0.001988377998159566,-0.004740596393538086,0.0003141885532484237
0.04931320463604469,0.11884173339744959,0.0013098461078796043,-0.0745729442907739,-0.020826447031074988,0.03649335452233819,0.006022797622334547,0.010596639241873143,0.030150494395240493,0.021245276716989173,0.02188915769039898,0.010667246708954031,0.0021445633995040227,0.02520099033381558,0.016309591270724563,-0.0005692460685781817,0.006945497794245688,0.0049331391337776006,0.005134510686511008,0.014415033854825345,0.0010336381413758129,0.009923776348720962,0.010314641028999596,-0.01344023611617144,-0.00172578763844917,-0.00022296299125347977,0.01009799703892183,-0.0006032754198741523,0.003560526644680046,0.011818247002011948
0.03385040290365199,-0.00813743810726779,0.010822410395377093,-0.005748144362328038,-0.010379895868046538,0.01134157535705302,-0.005722541256187564,0.0036510761616327424,0.022726563706500315,0.003934521601729973,-0.0020187196928295255,-0.043385640470718696,-0.019016009489494404,-0.004198625180394343,-0.004161558581198827,-0.01119276815871345,-0.018659918611579493,-0.0037785405341563528,-0.013219775554065238,-0.004835614507504635,0.006476919577315451,-0.006699302646416022,0.0036490588232200977,-0.013400926329823157,0.0030568474172058394,0.0002907097442848451,0.0013271460445483732,-0.008214461031104734,-0.009729149877282947,0.00014735644547897295
-0.03096064774458903,0.051714049738050584,-0.017778339988991275,-0.045525685671128156,-0.024396887576203494,-0.01340476973605666,-0.01856510347135092,0.00772056989460296,-0.015271512041988339,-0.01928299812512823,-0.012971100528227903,0.015922519923171757,-0.010383562653317262,-0.018137122859798422,0.002907525994088736,-0.01961289313485807,0.0022475956032247417,0.0018911886495368041,-0.0005691328928156387,-0.00801294029651259,0.0035699016217178785,0.00953703612207539,0.0037731832646795064,0.005693992682554112,-0.004439585572500009,-0.009874088387882556,0.006236056999027338,1.076332207518388e-05,0.0027257568024736585,-0.0010795621513453168
