global_aperiodic_exponent_p95,global_alpha_peak_pw_median,net8_Executive_Control_aperiodic_exponent_p95,net8_Default_Mode_alpha_peak_cf_median,net8_Default_Mode_aperiodic_exponent_p95,global_alpha_peak_bw_p5,net8_Visual_alpha_peak_cf_median,net8_Somatomotor_alpha_peak_bw_p5,net8_Limbic_aperiodic_exponent_p95,net8_Temporal_Parietal_alpha_peak_cf_median,net8_Dorsal_Attention_alpha_peak_pw_median,net8_Dorsal_Attention_aperiodic_exponent_median,net8_Salience_Ventral_Attention_aperiodic_exponent_p95,net8_Somatomotor_aperiodic_exponent_p95,net8_Dorsal_Attention_aperiodic_exponent_p95,net8_Visual_aperiodic_exponent_median,net8_Temporal_Parietal_aperiodic_exponent_median,global_alpha_peak_pw_p5,net8_Dorsal_Attention_aperiodic_offset_median,net8_Limbic_alpha_peak_cf_median,net8_Temporal_Parietal_aperiodic_offset_p95,net8_Limbic_alpha_peak_cf_p95,net8_Somatomotor_alpha_peak_cf_p95,net8_Temporal_Parietal_aperiodic_offset_p5,net8_Executive_Control_alpha_peak_cf_p95,net8_Temporal_Parietal_aperiodic_exponent_p95,net8_Temporal_Parietal_alpha_peak_cf_p95,net8_Salience_Ventral_Attention_aperiodic_offset_p5,net8_Dorsal_Attention_aperiodic_exponent_p5,net8_Limbic_aperiodic_offset_p95
-0.031603098391343155,0.015429787532865967,-0.0023129561399533112,0.004378778989581782,0.0001958611439593583,0.014697569403011873,0.007504501106460009,0.009810028832811284,-0.0018012881211594287,-0.004681270229650748,0.003399761767730489,0.007466521150591276,-0.007499469216710432,0.0002633488776298466,-0.0031891862610670726,-0.010172070755884655,-0.00809438964936484,0.001790449191903876,0.0019510580245592083,0.0025891736415687054,-0.0009258245859226539,0.0010146964283121594,0.0003736765624501946,-0.00016200907156503082,0.003932133224372299,-0.006783603209474929,-0.0014306141423480509,0.0012576508298323683,0.0005340818361821827,-0.0031915680865919074
0.026813260587427643,-0.03169448127602717,-0.0073396421906698015,0.003056160433761842,0.0008542293422267869,-0.010596199542594845,-0.005248724011837039,-0.004691311638354542,-0.0067332810807001495,0.0015509292587629552,-0.0015701175951841678,-0.004483836699998988,0.0012119271464664213,-0.002333883536730094,0.0027407729527401583,0.0036705172270380683,0.0014310552580686362,-0.008663087030228469,-0.005127844362490989,0.0024628207258940824,0.009667751855211517,0.0006608500756806174,-0.0021492108798791564,0.0038681576709472493,-0.0028251881702684224,0.0013191043482667058,-0.0029813551490528965,-0.0072965450056428,-0.003150236580758172,0.002831693137184823
-0.03308906951511463,-0.0016009591840121776,-0.012773997547472138,0.0034889102360178524,-0.04716098161673628,0.01081261551300572,0.004074854588430164,0.002645130657492082,-0.0022784399143673077,-0.0039006815793545158,0.00015779057892216348,0.0032880343185160543,-0.003457675261091529,-0.0019049862204286883,-0.012300978377531635,-0.001204766747367951,0.003333783781355638,-0.002038438102034745,0.0017130782199279448,-0.0034668368808118137,-0.005674221565538794,-0.00797679621350045,-0.0012609259103054063,-0.0005579138595478522,0.00368924004146861,-0.0022014351147531543,-0.0016419701249684629,0.0009468944203684348,0.00038969321184688594,0.0026392032108552644
0.0644800549333956,0.011754640767198083,0.030588432234173478,0.0035570257358796906,0.001373373183931485,-0.0027099243112948864,0.010412596872294027,0.00012711871346908368,-0.002008600381605687,-0.0013448047764051724,0.005244133427162583,-0.005896715470012836,0.0023886630286714654,0.014011650282453438,0.004993583951204321,0.008468323984080013,0.0016607717049701336,0.008392599385721905,-0.0028715513549941595,-0.0003374901365866773,-0.0001877939879410116,-0.001786649562208401,-0.001198913686080602,0.0011810458200214816,-0.004775648706944406,0.0036168297721281355,-0.002466435583992555,-0.0038001827639644967,-0.0022186785195694187,0.0005524620241815669
0.01083425558097897,0.0027768478917028637,0.006597885621857856,-0.016956458790618103,-0.0021334253107924304,-0.0228588271299628,-0.016799335308732247,-0.004432430955817617,-0.004113481754553546,-0.0007738926283990952,-0.0036311192065334686,-0.00016078800997567646,-0.0031455406852817698,-0.003428160963982278,0.005785052019393797,-0.004689562260492125,0.0017759751612675275,-0.00033476984013541084,0.0015604621846238367,0.0007326046838550944,-0.00038236377468839664,-8.716067234511432e-05,-0.0003691957897655486,-0.0018783622333074198,0.0005814807636256978,0.0027003616790215314,-0.0028850604992038077,0.000478788396097744,0.001248686602385418,-0.0030014035605281453
-0.025152321149874878,-0.024443168481041676,-0.007066401956242767,0.009953237312706748,0.010028426689310303,-0.005612025076305958,0.005968161059398339,-0.0027864242291999377,-0.0029053419935171627,-0.004227594932778036,-0.00833406414445895,0.00445366975940489,-0.0029776946481932017,-0.0035755407422845887,-0.00047324169920082967,-0.0007759152157588809,0.003050232976883528,-0.010178214013914267,-0.006684195519819328,-0.0013466951619251918,-0.006336126535040138,1.5009459246833456e-05,-0.003271078262017319,-0.0041304167393498795,-0.00360162260476983,-0.000721268417992639,0.0010983972735188548,0.0008895447620489747,0.0005021529684080114,0.003507818184392003
0.051974866126887787,0.005752459175439765,0.025714770754469977,0.0021485779349081783,-0.0009260805623016607,0.0029167087648665022,0.0021268379912603593,0.0041301325667425885,0.0321835624008386,0.0032368529803194824,0.006005819058863147,-0.005413789519755008,0.013953527251497518,0.01583868622888012,0.0026839958198243575,0.012585553261987488,0.0009378195955545053,0.002762417975937166,-0.011620323963100485,0.0038171276726653384,0.007316061230488541,0.0005758054873139854,-0.00031200095367514764,0.002499997103546984,-0.003974699220077394,0.0014755096653101501,0.004496288617784433,-0.00735981356729889,-0.00237892235449346,0.0004572251981045801
0.041254507550999346,-0.01756000955311614,0.017064961686570096,-0.0012848568542849846,0.0005264998477237363,-0.0020194445728257595,0.00408653724219791,0.0014239538149678644,-0.006326580537458885,-0.0007670457083127383,-0.008464073178737106,-0.005036095027904292,0.0023357230482785856,-0.0008537548068905219,0.003066746968716255,0.01613114220089172,0.0016521987781119368,-0.010538918929107816,-0.006475343690324406,-0.004256869588194315,-0.00022452910376968613,0.0004710877182510147,-0.0016433955542242249,0.0015008896195118004,-0.0003326935477762922,0.0016740609004563336,-1.9387081236506948e-05,0.0020591034183926886,-0.0030041068654709565,0.0007131265525737562
-0.02894561944214326,0.003673702046130706,-0.0053506240652896045,-0.03932464491822248,0.002162151932085922,-0.005285964471607964,-0.01016113347891197,0.0021681969980932446,-0.0027283679042909297,-0.005688022646830323,0.0006351382483795964,0.0014919271419881438,-0.00561650439905918,0.0005163270917293779,-0.0025079647926882394,-0.005571782674598216,0.001692339938921626,0.0003228660984355569,-0.008923324402414372,-0.003951600748191935,-0.0015116342479166867,-0.004945648733403805,-0.0003273117045451132,-0.0013910646537024396,0.0011457245980294921,0.0009045594467886769,-0.0013865675779678721,0.00083361599363876,0.0010251419782465131,-0.0004919998068036804
-0.04000260296798611,-0.011122429501067925,-0.003017149452116438,-0.016870275545351227,0.0019364584918912418,0.003050146458301162,-0.007384075969711914,0.005758148986173452,-0.0022185626894777656,-0.002027327351062441,-0.009295832259950808,-0.0014090074116929125,-0.017616404912935115,0.0009551327177207054,0.005382454749293196,-0.005093636223538157,0.001327567947543207,0.00013551214063212908,0.0015804853087717941,-0.001608246195355192,0.0006505923533024318,-0.0029312787539746516,0.0003524746108812682,0.00040313733502288213,0.0011456110972163343,0.0017937093657101894,-0.0007050457964676259,0.0007500230032515779,-0.0014121667626727217,0.0016979267869991759
