auprc,auroc,f1,precision,recall,brier,threshold,n_test,n_pos,tp,fp,tn,fn,fold,n_train,n_features,spw
0.6229,0.7987,0.568,0.5707,0.5652,0.1826,0.6615,788,207,117,88,493,90,1,1575,84,2.804
0.6072,0.7947,0.5692,0.6193,0.5266,0.1635,0.6326,788,207,109,67,514,98,2,1575,90,2.804
0.538,0.752,0.5472,0.5346,0.5604,0.2133,0.5908,787,207,116,101,479,91,3,1576,83,2.807
